,index,N_EAN13,N_MARQUE,N_SAME_PRODUCT,N_GAMME,N_RECETTES,N_ORGANIC,N_FORMAT,N_WEIGHT_num,N_EMBALLAGE,N_COMPTE,N_STD/PROMO,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018,N_ITEM,N_NIELSEN_DESCRIPTION,N_INITIAL_INDEX,N_CATEGORY,N_COUNT
0,1542,3760052155536,AUT_MQ,AUT_MQ | SCE_CLAS | CITRON_VERT_PIMENT_DOUX | AUT_EMB | NON_BIO,SCE_CLAS,CITRON_VERT_PIMENT_DOUX,NON_BIO,PF,100,AUT_EMB,1CT,STD,35.1,1563.3000000000006,3760052155536,AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CITRON_VERT_PIMENT_DOUX_1CT_100G_*_NON_BIO,1542,AUT_SCE,1
11,1558,3302762213382,AUT_MQ,AUT_MQ | SCE_CLAS | MOUSSELINE | DOSE | NON_BIO,SCE_CLAS,MOUSSELINE,NON_BIO,FI,50,DOSE,3CT,STD,1105.9,137.9,3302762213382,AUT_SCE_DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_MOUSSELINE_3CT_50G_*_NON_BIO,1558,AUT_SCE,1
12,1559,3302762203222,AUT_MQ,AUT_MQ | SCE_CLAS | TRUFFE_D'ETE | DOSE | NON_BIO,SCE_CLAS,TRUFFE_D'ETE,NON_BIO,FI,50,DOSE,3CT,STD,10638.9,0.0,3302762203222,AUT_SCE_DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_TRUFFE_D'ETE_3CT_50G_*_NON_BIO,1559,AUT_SCE,1
13,1562,9325763000083,AUT_MQ,AUT_MQ | SCE_CLAS | TIKKA_MASALA | DOY_PAC | NON_BIO,SCE_CLAS,TIKKA_MASALA,NON_BIO,MF,375,DOY_PAC,1CT,STD,9767.7,0.0,9325763000083,AUT_SCE_DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_MF_TIKKA_MASALA_1CT_375G_*_NON_BIO,1562,AUT_SCE,1
14,1563,3760052155505,AUT_MQ,AUT_MQ | SCE_CLAS | ALGUES | DOY_PAC | BIO,SCE_CLAS,ALGUES,BIO,PF,100,DOY_PAC,1CT,STD,3.6,2387.5,3760052155505,AUT_SCE_DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_ALGUES_1CT_100G_*_BIO,1563,AUT_SCE,1
15,1564,3760070015331,AUT_MQ,AUT_MQ | SCE_CLAS | ALGUES_AU_SEL_DE_GUERANDE | DOY_PAC | BIO,SCE_CLAS,ALGUES_AU_SEL_DE_GUERANDE,BIO,PF,150,DOY_PAC,1CT,STD,0.0,662.4000000000002,3760070015331,SCE_DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_ALGUES_AU_SEL_DE_GUERANDE_1CT_150G_*_BIO,1564,AUT_SCE,1
16,1565,3302767151122,AUT_MQ,AUT_MQ | SCE_CLAS | ARMORICAINE | DOY_PAC | NON_BIO,SCE_CLAS,ARMORICAINE,NON_BIO,PF,135,DOY_PAC,1CT,STD,0.0,1.2,3302767151122,AUT_SCE_DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_ARMORICAINE_1CT_135G_*_NON_BIO,1565,AUT_SCE,1
17,1566,3302767151139,AUT_MQ,AUT_MQ | SCE_CLAS | BEURRE_BLANC_&_CITRON_CONFIT | DOY_PAC | NON_BIO,SCE_CLAS,BEURRE_BLANC_&_CITRON_CONFIT,NON_BIO,PF,135,DOY_PAC,1CT,STD,81.7,2292.2,3302767151139,PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_BEURRE_BLANC_&_CITRON_CONFIT_1CT_135G_*_NON_BIO,1566,AUT_SCE,1
18,1567,3760070014556,AUT_MQ,AUT_MQ | SCE_CLAS | BEURRE_BLANC_RICHE_EN_ECHALOTE | DOY_PAC | NON_BIO,SCE_CLAS,BEURRE_BLANC_RICHE_EN_ECHALOTE,NON_BIO,PF,200,DOY_PAC,1CT,STD,67903.7,86137.29999999999,3760070014556,PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_BEURRE_BLANC_RICHE_EN_ECHALOTE_1CT_200G_*_NON_BIO,1567,AUT_SCE,1
19,1568,3760070014549,AUT_MQ,AUT_MQ | SCE_CLAS | BEURRE_CITRON_A_LA_CREME_FRAIC | DOY_PAC | NON_BIO,SCE_CLAS,BEURRE_CITRON_A_LA_CREME_FRAIC,NON_BIO,PF,200,DOY_PAC,1CT,STD,75244.40000000001,42432.8,3760070014549,PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_BEURRE_CITRON_A_LA_CREME_FRAIC_1CT_200G_*_NON_BIO,1568,AUT_SCE,1
20,1569,3760070015324,AUT_MQ,AUT_MQ | SCE_CLAS | CITRON_VERT_CORIANDRE_AU_SEL_D | DOY_PAC | BIO,SCE_CLAS,CITRON_VERT_CORIANDRE_AU_SEL_D,BIO,PF,150,DOY_PAC,1CT,STD,30888.200000000004,48078.80000000001,3760070015324,DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CITRON_VERT_CORIANDRE_AU_SEL_D_1CT_150G_*_BIO,1569,AUT_SCE,1
21,1570,3302767151290,AUT_MQ,AUT_MQ | SCE_CLAS | CREMEE_AU_FOIE_GRAS | DOY_PAC | NON_BIO,SCE_CLAS,CREMEE_AU_FOIE_GRAS,NON_BIO,PF,135,DOY_PAC,1CT,STD,0.0,4.5,3302767151290,SCE_DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CREMEE_AU_FOIE_GRAS_1CT_135G_*_NON_BIO,1570,AUT_SCE,1
22,1571,3302767151283,AUT_MQ,AUT_MQ | SCE_CLAS | CREMEE_AUX_MORILLES | DOY_PAC | NON_BIO,SCE_CLAS,CREMEE_AUX_MORILLES,NON_BIO,PF,135,DOY_PAC,1CT,STD,513.0,12144.7,3302767151283,SCE_DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CREMEE_AUX_MORILLES_1CT_135G_*_NON_BIO,1571,AUT_SCE,1
23,1572,3760070014525,AUT_MQ,AUT_MQ | SCE_CLAS | HOMARD_A_LA_CREME_FRAICHE_&_AU | DOY_PAC | NON_BIO,SCE_CLAS,HOMARD_A_LA_CREME_FRAICHE_&_AU,NON_BIO,PF,200,DOY_PAC,1CT,STD,4778.700000000002,6331.9,3760070014525,PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_HOMARD_A_LA_CREME_FRAICHE_&_AU_1CT_200G_*_NON_BIO,1572,AUT_SCE,1
24,1573,3302767151108,AUT_MQ,AUT_MQ | SCE_CLAS | MELANGE_5_BAIES | DOY_PAC | NON_BIO,SCE_CLAS,MELANGE_5_BAIES,NON_BIO,PF,135,DOY_PAC,1CT,STD,0.0,12.1,3302767151108,AUT_SCE_DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_MELANGE_5_BAIES_1CT_135G_*_NON_BIO,1573,AUT_SCE,1
25,1574,3272640001786,AUT_MQ,AUT_MQ | SCE_CLAS | MOUSS_CHAMP | DOY_PAC | NON_BIO,SCE_CLAS,MOUSS_CHAMP,NON_BIO,PF,200,DOY_PAC,1CT,STD,5820.6,10392.8,3272640001786,AUT_SCE_DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_MOUSS_CHAMP_1CT_200G_*_NON_BIO,1574,AUT_SCE,1
26,1575,3760070014518,AUT_MQ,AUT_MQ | SCE_CLAS | OSEILLE_A_LA_CREME_FRAICHE_AU | DOY_PAC | NON_BIO,SCE_CLAS,OSEILLE_A_LA_CREME_FRAICHE_AU,NON_BIO,PF,200,DOY_PAC,1CT,STD,62583.3,70158.9,3760070014518,PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_OSEILLE_A_LA_CREME_FRAICHE_AU_1CT_200G_*_NON_BIO,1575,AUT_SCE,1
27,1576,5021047104778,AUT_MQ,AUT_MQ | SCE_CLAS | PANANG_CURRY | DOY_PAC | NON_BIO,SCE_CLAS,PANANG_CURRY,NON_BIO,PF,250,DOY_PAC,1CT,STD,94928.0,200969.1,5021047104778,AUT_SCE_DOY_PAC_AUT_FAB_AUT_MQ_SCE_CLAS_PF_PANANG_CURRY_1CT_250G_*_NON_BIO,1576,AUT_SCE,1
28,1577,0,MDD,MDD | AUT_SCE |  | DOY_PAC | ,,,separator,,0,DOY_PAC,,,68839.2,150078.19999999998,,AUT_SCE_DOY_PAC_MDD,1577,AUT_SCE,1
29,1580,5021047104525,AUT_MQ,AUT_MQ | SCE_CLAS | SWEET_CHILLI | FLA_PLAS | NON_BIO,SCE_CLAS,SWEET_CHILLI,NON_BIO,MF,435,FLA_PLAS,1CT,STD,311103.69999999995,255533.50000000003,5021047104525,AUT_SCE_FLA_PLAS_AUT_FAB_AUT_MQ_SCE_CLAS_MF_SWEET_CHILLI_1CT_435G_*_NON_BIO,1580,AUT_SCE,1
30,1581,8710605030457,AUT_MQ,AUT_MQ | SCE_CLAS | CHILLI_SUCREE | FLA_PLAS | NON_BIO,SCE_CLAS,CHILLI_SUCREE,NON_BIO,PF,270,FLA_PLAS,1CT,STD,15058.0,0.0,8710605030457,AUT_SCE_FLA_PLAS_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CHILLI_SUCREE_1CT_270G_*_NON_BIO,1581,AUT_SCE,1
31,1582,6194049100792,AUT_MQ,AUT_MQ | SCE_CLAS | HARISSA_&_PIMENTS | FLA_PLAS | NON_BIO,SCE_CLAS,HARISSA_&_PIMENTS,NON_BIO,PF,300,FLA_PLAS,1CT,STD,17809.899999999998,20780.5,6194049100792,AUT_SCE_FLA_PLAS_AUT_FAB_AUT_MQ_SCE_CLAS_PF_HARISSA_&_PIMENTS_1CT_300G_*_NON_BIO,1582,AUT_SCE,1
32,1585,3100080000536,AUT_MQ,AUT_MQ | SCE_CLAS | SAUCE_SUPREME_A_LA_TRUFFE_DU_P | POT | NON_BIO,SCE_CLAS,SAUCE_SUPREME_A_LA_TRUFFE_DU_P,NON_BIO,AUT_FORM,250,POT,1CT,STD,5042.5,5672.8,3100080000536,FAB_AUT_MQ_SCE_CLAS_AUT_FORM_SAUCE_SUPREME_A_LA_TRUFFE_DU_P_1CT_250G_*_NON_BIO,1585,AUT_SCE,1
33,1586,5602102238876,AUT_MQ,AUT_MQ | SCE_CLAS | PIRI_PIRI_A_L'AIL | POT | NON_BIO,SCE_CLAS,PIRI_PIRI_A_L'AIL,NON_BIO,FI,95,POT,1CT,STD,21977.8,20040.9,5602102238876,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_FI_PIRI_PIRI_A_L'AIL_1CT_95G_*_NON_BIO,1586,AUT_SCE,1
34,1587,3760153840126,AUT_MQ,AUT_MQ | SCE_CLAS | PISTOU_BASILIC | POT | NON_BIO,SCE_CLAS,PISTOU_BASILIC,NON_BIO,FI,80,POT,1CT,STD,15105.499999999998,21052.1,3760153840126,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_FI_PISTOU_BASILIC_1CT_80G_*_NON_BIO,1587,AUT_SCE,1
35,1588,40788975,AUT_MQ,AUT_MQ | SCE_CLAS | AJI_PANCA_CHILI | POT | NON_BIO,SCE_CLAS,AJI_PANCA_CHILI,NON_BIO,MF,375,POT,1CT,STD,136876.6,383806.50000000006,0000040788975,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_AJI_PANCA_CHILI_1CT_375G_*_NON_BIO,1588,AUT_SCE,1
36,1589,5608771012045,AUT_MQ,AUT_MQ | SCE_CLAS | BIFANA | POT | NON_BIO,SCE_CLAS,BIFANA,NON_BIO,MF,500,POT,1CT,STD,3939.4,2975.9000000000005,5608771012045,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_BIFANA_1CT_500G_*_NON_BIO,1589,AUT_SCE,1
37,1590,5391517696486,AUT_MQ,AUT_MQ | SCE_CLAS | COCOCRAZY_KORMA_PASTE | POT | NON_BIO,SCE_CLAS,COCOCRAZY_KORMA_PASTE,NON_BIO,MF,310,POT,1CT,STD,14.7,2575.5,5391517696486,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_COCOCRAZY_KORMA_PASTE_1CT_310G_*_NON_BIO,1590,AUT_SCE,1
38,1591,40788982,AUT_MQ,AUT_MQ | SCE_CLAS | CRANBERRY_BBQ | POT | NON_BIO,SCE_CLAS,CRANBERRY_BBQ,NON_BIO,MF,375,POT,1CT,STD,132893.4,342920.2000000001,0000040788982,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CRANBERRY_BBQ_1CT_375G_*_NON_BIO,1591,AUT_SCE,1
39,1592,5011308301794,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_BUTTER_CHICKEN | POT | NON_BIO,SCE_CLAS,CURRY_INDIENNE_BUTTER_CHICKEN,NON_BIO,MF,350,POT,1CT,STD,61298.00000000001,0.0,5011308301794,POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_INDIENNE_BUTTER_CHICKEN_1CT_350G_*_NON_BIO,1592,AUT_SCE,1
40,1593,3229820799087,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_BUTTER_CHICKEN | POT | NON_BIO,SCE_CLAS,CURRY_INDIENNE_BUTTER_CHICKEN,NON_BIO,MF,350,POT,1CT,STD,3966.0,0.0,3229820799087,POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_INDIENNE_BUTTER_CHICKEN_1CT_350G_*_NON_BIO,1593,AUT_SCE,1
41,1594,5011308502467,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_COCO_&_CACAHUET | POT | NON_BIO,SCE_CLAS,CURRY_INDIENNE_COCO_&_CACAHUET,NON_BIO,MF,350,POT,1CT,STD,313139.19999999995,297542.5,5011308502467,POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_INDIENNE_COCO_&_CACAHUET_1CT_350G_*_NON_BIO,1594,AUT_SCE,1
42,1595,3229820799056,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_COCO_&_CACAHUET | POT | NON_BIO,SCE_CLAS,CURRY_INDIENNE_COCO_&_CACAHUET,NON_BIO,MF,350,POT,1CT,STD,5944.1,0.0,3229820799056,POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_INDIENNE_COCO_&_CACAHUET_1CT_350G_*_NON_BIO,1595,AUT_SCE,1
43,1596,3229820799094,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_CURRY_DOUX | POT | NON_BIO,SCE_CLAS,CURRY_INDIENNE_CURRY_DOUX,NON_BIO,MF,350,POT,1CT,STD,2471.8,0.0,3229820799094,SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_INDIENNE_CURRY_DOUX_1CT_350G_*_NON_BIO,1596,AUT_SCE,1
44,1597,3229820799032,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_KORMA | POT | NON_BIO,SCE_CLAS,CURRY_INDIENNE_KORMA,NON_BIO,MF,350,POT,1CT,STD,5554.900000000002,0.0,3229820799032,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_INDIENNE_KORMA_1CT_350G_*_NON_BIO,1597,AUT_SCE,1
45,1598,3229820799049,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_TANDOORI | POT | NON_BIO,SCE_CLAS,CURRY_INDIENNE_TANDOORI,NON_BIO,MF,350,POT,1CT,STD,6095.799999999997,0.0,3229820799049,SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_INDIENNE_TANDOORI_1CT_350G_*_NON_BIO,1598,AUT_SCE,1
46,1599,3229820799018,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_TIKKA_MASALA | POT | NON_BIO,SCE_CLAS,CURRY_INDIENNE_TIKKA_MASALA,NON_BIO,MF,350,POT,1CT,STD,6919.400000000002,0.0,3229820799018,POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_INDIENNE_TIKKA_MASALA_1CT_350G_*_NON_BIO,1599,AUT_SCE,1
47,1600,5011308519748,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_TIKKA_MASALA_EP | POT | NON_BIO,SCE_CLAS,CURRY_INDIENNE_TIKKA_MASALA_EP,NON_BIO,MF,350,POT,1CT,STD,246434.20000000004,225806.6,5011308519748,POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_INDIENNE_TIKKA_MASALA_EP_1CT_350G_*_NON_BIO,1600,AUT_SCE,1
48,1601,4104420183889,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_THAI_COCO | POT | BIO,SCE_CLAS,CURRY_THAI_COCO,BIO,MF,325,POT,1CT,STD,2043.6,1532.5,4104420183889,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_THAI_COCO_1CT_325G_*_BIO,1601,AUT_SCE,1
49,1602,4104420212794,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_THAI_COCO | POT | BIO,SCE_CLAS,CURRY_THAI_COCO,BIO,MF,325,POT,1CT,STD,9583.0,0.0,4104420212794,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_CURRY_THAI_COCO_1CT_325G_*_BIO,1602,AUT_SCE,1
50,1603,5608771013042,AUT_MQ,AUT_MQ | SCE_CLAS | GESIERS | POT | NON_BIO,SCE_CLAS,GESIERS,NON_BIO,MF,500,POT,1CT,STD,1689.7000000000005,1515.5,5608771013042,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_GESIERS_1CT_500G_*_NON_BIO,1603,AUT_SCE,1
51,1604,5391517696479,AUT_MQ,AUT_MQ | SCE_CLAS | JAUNTY_JALFREZI_PASTE | POT | NON_BIO,SCE_CLAS,JAUNTY_JALFREZI_PASTE,NON_BIO,MF,310,POT,1CT,STD,0.0,5.0,5391517696479,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_JAUNTY_JALFREZI_PASTE_1CT_310G_*_NON_BIO,1604,AUT_SCE,1
52,1605,5024448755204,AUT_MQ,AUT_MQ | SCE_CLAS | KASHMIRI_MILD_KORMA | POT | NON_BIO,SCE_CLAS,KASHMIRI_MILD_KORMA,NON_BIO,MF,420,POT,1CT,STD,0.0,0.0,5024448755204,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_KASHMIRI_MILD_KORMA_1CT_420G_*_NON_BIO,1605,AUT_SCE,1
53,1606,5015821155025,AUT_MQ,AUT_MQ | SCE_CLAS | MADRAS_SAUCE_CURRY_EPICEE_AUX | POT | NON_BIO,SCE_CLAS,MADRAS_SAUCE_CURRY_EPICEE_AUX,NON_BIO,MF,500,POT,1CT,STD,698.6999999999997,2755.4,5015821155025,POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_MADRAS_SAUCE_CURRY_EPICEE_AUX_1CT_500G_*_NON_BIO,1606,AUT_SCE,1
54,1607,8014388282080,AUT_MQ,AUT_MQ | SCE_CLAS | NAPOLITAIN | POT | NON_BIO,SCE_CLAS,NAPOLITAIN,NON_BIO,MF,350,POT,1CT,STD,0.0,4.3,8014388282080,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_NAPOLITAIN_1CT_350G_*_NON_BIO,1607,AUT_SCE,1
55,1608,5391517696493,AUT_MQ,AUT_MQ | SCE_CLAS | TANTALIZING_TIKKA_PASTE | POT | NON_BIO,SCE_CLAS,TANTALIZING_TIKKA_PASTE,NON_BIO,MF,310,POT,1CT,STD,0.0,2266.600000000001,5391517696493,SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_TANTALIZING_TIKKA_PASTE_1CT_310G_*_NON_BIO,1608,AUT_SCE,1
56,1609,4104420213203,AUT_MQ,AUT_MQ | SCE_CLAS | TIKKA_MASALA | POT | BIO,SCE_CLAS,TIKKA_MASALA,BIO,MF,325,POT,1CT,STD,1689.7999999999995,0.0,4104420213203,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_TIKKA_MASALA_1CT_325G_*_BIO,1609,AUT_SCE,1
57,1610,4019041006311,AUT_MQ,AUT_MQ | SCE_CLAS | TIKKA_MASALA | POT | NON_BIO,SCE_CLAS,TIKKA_MASALA,NON_BIO,MF,340,POT,1CT,STD,3629.7,0.0,4019041006311,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_TIKKA_MASALA_1CT_340G_*_NON_BIO,1610,AUT_SCE,1
58,1611,3229820799070,AUT_MQ,AUT_MQ | SCE_CLAS | TIKKA_MASALA_EPICE | POT | NON_BIO,SCE_CLAS,TIKKA_MASALA_EPICE,NON_BIO,MF,350,POT,1CT,STD,4730.2,0.0,3229820799070,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_MF_TIKKA_MASALA_EPICE_1CT_350G_*_NON_BIO,1611,AUT_SCE,1
59,1612,8007548000860,AUT_MQ,AUT_MQ | SCE_CLAS | AGLIO_&_OLIO_&_PEPERONCINO_CAL | POT | NON_BIO,SCE_CLAS,AGLIO_&_OLIO_&_PEPERONCINO_CAL,NON_BIO,PF,180,POT,1CT,STD,0.0,0.0,8007548000860,POT_AUT_FAB_AUT_MQ_SCE_CLAS_PF_AGLIO_&_OLIO_&_PEPERONCINO_CAL_1CT_180G_*_NON_BIO,1612,AUT_SCE,1
60,1613,3264963012716,AUT_MQ,AUT_MQ | SCE_CLAS | AIL_DES_OURS_&_BASILIC | POT | NON_BIO,SCE_CLAS,AIL_DES_OURS_&_BASILIC,NON_BIO,PF,190,POT,1CT,STD,38951.2,58260.2,3264963012716,SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_PF_AIL_DES_OURS_&_BASILIC_1CT_190G_*_NON_BIO,1613,AUT_SCE,1
61,1614,40198798,AUT_MQ,AUT_MQ | SCE_CLAS | AJI_PANCA_CHILI | POT | NON_BIO,SCE_CLAS,AJI_PANCA_CHILI,NON_BIO,PF,235,POT,1CT,STD,49163.7,0.0,0000040198798,AUT_SCE_POT_AUT_FAB_AUT_MQ_SCE_CLAS_PF_AJI_PANCA_CHILI_1CT_235G_*_NON_BIO,1614,AUT_SCE,1
