,CATEGORY,MKT_SEGMENT,KPI,EAN13_num,MARQUE,RECETTES,ORGANIC,WEIGHT_num,EMBALLAGE,GAMME,FORMAT,COMPTE,STD/PROMO,ITEM,CAM AN-1,DERNIER CAM,4 S 28/01/18,4 S 25/02/18,4 S 25/03/18,4 S 22/04/18,4 S 20/05/18,4 S 17/06/18,4 S 15/07/18,4 S 12/08/18,4 S 09/09/18,4 S 07/10/18,4 S 04/11/18,4 S 02/12/18,4 S 30/12/18,4 S 27/01/19,4 S 24/02/19,4 S 24/03/19,4 S 21/04/19,4 S 19/05/19,4 S 16/06/19,4 S 14/07/19,4 S 11/08/19,4 S 08/09/19,4 S 06/10/19,4 S 03/11/19,4 S 01/12/19,4 S 29/12/19,EAN13,WEIGHT,NIELSEN_DESCRIPTION,INITIAL_INDEX
683,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,80409700,AUT MQ,PESTO VERD,0,90,POT,PESTO,FI,1CT,STD,0000080409700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80409700.0,90.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO FI PESTO VERD 1CT 90G * NON BIO,752
684,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3424150010165,AUT MQ,PESTO VERD,0,90,POT,PESTO,FI,1CT,STD,3424150010165,205.1,223.00000000000003,9.9,10.3,8.2,11.3,14.6,16.2,24.1,32.9,25.4,16.5,11.3,9.0,15.4,10.2,9.4,10.4,14.9,15.5,19.8,25.8,34.5,26.3,17.4,12.4,10.5,15.9,3424150010165.0,90.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO FI PESTO VERD 1CT 90G * NON BIO,753
685,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8032584372015,AUT MQ,PESTO VERD,0,95,POT,PESTO,FI,1CT,STD,8032584372015,14.499999999999998,2.8,1.1,1.1,1.4,1.1,1.2,1.4,1.2,2.5,1.1,0.7,0.4,0.6,0.7,0.3,0.6,0.6,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8032584372015.0,95.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO FI PESTO VERD 1CT 95G * NON BIO,754
686,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8032680410178,AUT MQ,PESTO VERD,0,95,POT,PESTO,FI,1CT,STD,8032680410178,1004.0,940.4,67.6,67.4,67.9,80.5,83.9,80.9,89.6,87.4,80.0,81.3,69.7,66.4,81.4,70.7,73.5,72.2,79.4,90.5,93.7,95.9,116.2,111.1,67.0,33.3,19.6,17.3,8032680410178.0,95.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO FI PESTO VERD 1CT 95G * NON BIO,755
687,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3424150010585,AUT MQ,PESTO VERD,0,390,POT,PESTO,MF,1CT,STD,3424150010585,54.89999999999999,38.6,3.5,0.8,1.9,3.9,1.9,8.6,7.0,7.4,7.8,2.7,1.2,3.5,4.7,0.8,0.4,1.6,1.6,1.9,3.5,5.5,11.3,2.7,3.5,2.3,1.2,2.3,3424150010585.0,390.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO MF PESTO VERD 1CT 390G * NON BIO,756
688,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3337730004082,AUT MQ,PESTO VERD,0,400,POT,PESTO,MF,1CT,STD,3337730004082,121.6,68.8,3.2,9.6,7.6,7.2,12.8,9.2,10.4,17.2,16.0,12.8,6.0,5.6,4.0,1.6,3.2,2.4,4.4,4.0,8.0,12.0,24.0,4.4,2.4,0.8,0.4,1.2,3337730004082.0,400.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO MF PESTO VERD 1CT 400G * NON BIO,757
689,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3512680000029,AUT MQ,BASILIC,0,180,POT,PESTO,PF,1CT,STD,3512680000029,2266.2000000000007,2309.5000000000005,55.3,62.3,65.3,93.6,144.9,151.4,296.9,508.0,399.4,180.0,121.5,83.7,103.9,74.3,74.3,76.5,109.1,127.3,173.0,318.6,522.4,382.1,186.1,105.8,71.3,88.7,3512680000029.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF BASILIC 1CT 180G * NON BIO,758
690,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3512680000371,AUT MQ,GENOVESE,0,180,POT,PESTO,PF,1CT,STD,3512680000371,993.1999999999997,954.9,25.4,27.4,33.5,47.5,69.3,72.9,139.9,209.7,178.2,85.3,41.9,20.3,41.9,23.6,19.3,27.2,44.8,52.7,76.1,117.4,214.7,176.6,94.9,43.9,20.5,43.2,3512680000371.0,180.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF GENOVESE 1CT 180G * NON BIO,759
691,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8005360001522,AUT MQ,GENOVESE,0,190,POT,PESTO,PF,1CT,STD,8005360001522,478.0,936.7,3.2,7.6,11.4,23.6,23.9,28.9,37.7,70.9,57.2,63.1,51.9,46.7,51.9,44.7,48.3,66.7,72.6,81.3,80.0,92.7,120.4,91.2,82.8,61.0,48.1,46.9,8005360001522.0,190.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF GENOVESE 1CT 190G * NON BIO,760
692,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8002960502206,AUT MQ,GENOVESE,0,200,POT,PESTO,PF,1CT,STD,8002960502206,6.799999999999999,0.2,0.6,0.6,0.0,0.0,0.0,1.0,0.8,1.2,0.6,0.8,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8002960502206.0,200.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO PF GENOVESE 1CT 200G * NON BIO,761
