N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_DERNIER CAM,N_CAM AN-1
AUT MQ + SCE POISSON + ANCHOIS + POT +  NON BIO,1,0.0,1,0.0,0.8
AUT MQ + SCE CLAS + YUZU + AUT EMB +  NON BIO,1,0.0,1,0.0,69.9
AUT MQ + BOLO ORIGINALE + BOLOGNAISE VOLAILLE + POT +  NON BIO,1,0.0,1,0.0,1.6
AUT MQ + SCE CLAS + PIZZA + POT +  NON BIO,1,0.0,1,0.0,0.0
LE CABANON + LEGUMES + CHAMPIGNON + POT +  NON BIO,1,0.0,1,0.0,4.5
AUT MQ + SCE CLAS + ONCTUEUSE AU RIZ + POT +  BIO,1,0.0,1,0.0,0.0
AUT MQ + SCE CLAS + NAPOLITAIN + POT +  NON BIO,1,0.0,1,0.0,0.7
AUT MQ + SCE CLAS + MELANGE 5 BAIES + DOY PAC +  NON BIO,1,0.0,1,0.0,2.5
BARILLA + LEGUMES + SICILIAN + POT +  NON BIO,1,0.0,1,0.0,0.0
BARILLA + LEGUMES + TOMATES CERISE ARRABBIATA + POT +  NON BIO,1,0.0,1,0.0,0.2
HEINZ + LEGUMES + TOMATE CUITE HUILE OLIVE + BRIC +  NON BIO,1,0.0,1,0.0,0.8
AUT MQ + AUT VIANDE + JAMB SAUCI + POT +  NON BIO,1,0.0,1,0.0,0.0
CASERTA + LEGUMES + BASILIC + BTE FER +  NON BIO,1,0.0,1,0.0,0.0
BUITONI + LEGUMES + PARMESAN + POT +  NON BIO,1,0.0,1,0.0,0.5
BUITONI + LEGUMES + NAPOLITAIN + POT +  NON BIO,1,0.0,1,0.0,0.3
BUITONI + LEGUMES + BASILIC + POT +  NON BIO,1,0.0,1,0.0,0.0
BUITONI + BOLO CLASSIQUE + BOLOGNAISE + POT +  NON BIO,1,0.0,1,0.0,0.0
BARILLA + PESTO + TOM SECHE + POT +  NON BIO,1,0.0,1,0.0,0.0
HEINZ + LEGUMES + BASILIC + BRIC +  NON BIO,1,0.0,1,0.0,0.3
