N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_DERNIER CAM,N_CAM AN-1
PANZANI + LEGUMES + PROVENCALE + POT +  NON BIO,17,10.0,7,4905419.6000000015,4747571.5
PANZANI + BOLO CLASSIQUE + BOLOGNAISE + POT +  NON BIO,26,19.0,7,4899534.700000001,8800759.400000002
PANZANI + LEGUMES + PT LEGUME + TUB +  NON BIO,6,6.0,0,3071093.9000000004,3081322.4000000013
PANZANI + LEGUMES + TOMATE CUI + POT +  NON BIO,11,10.0,1,2670954.1000000006,2632010.4
ZAPETTI BUITONI + BOLO CLASSIQUE + ITALIEN + BTE FER +  NON BIO,11,7.0,4,2418763.9000000004,2392954.5
HEINZ + LEGUMES + AIL OIGNON + BRIC +  NON BIO,8,3.0,5,2325710.4000000004,2085754.5
PANZANI + LEGUMES + TOMATES BASILIC + POT +  NON BIO,9,4.0,5,2026021.2000000002,1796281.9
PANZANI + BOLO CLASSIQUE + BOLOGNAISE PUR BOEUF + POT +  NON BIO,8,6.0,2,1923095.6000000006,79428.09999999999
BARILLA + LEGUMES + BASILIC + POT +  NON BIO,9,7.0,2,1746062.1999999997,1792045.7999999998
PANZANI + BOLO CLASSIQUE + BOLOGNAISE EXTRA RICHE + POT +  NON BIO,3,3.0,0,1203024.0,1155079.5999999999
PANZANI + LEGUMES + TOM FRAICH + BTE FER +  NON BIO,3,2.0,1,1138381.1,1199943.5
BARILLA + PESTO + PESTO VERD + POT +  NON BIO,4,3.0,1,1065922.7,949657.4
BARILLA + PESTO + PESTO RGE + POT +  NON BIO,2,2.0,0,1004482.6,875035.7
BARILLA + BOLO CLASSIQUE + BOLOGNAISE + POT +  NON BIO,7,4.0,3,956457.4999999999,922002.7999999999
BARILLA + LEGUMES + PROVENCALE + POT +  NON BIO,3,3.0,0,951896.6,861554.0
BARILLA + LEGUMES + ARRABIATA + POT +  NON BIO,6,4.0,2,878142.3999999999,760727.1000000001
ZAPETTI BUITONI + LEGUMES + H OLIVE + BTE FER +  NON BIO,3,3.0,0,803789.5,795268.3999999999
PANZANI + PESTO + PESTO VERD + POT +  NON BIO,3,2.0,1,693695.3000000003,617756.7000000001
