N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018
PANZANI | QUALITE_FRAICHEMENT_CUISINEE | PROVENCALE | POT | NON_BIO,1,1.0,0,706157.2999999998,881854.7000000002
PANZANI | PESTO | PESTO_RGE | POT | NON_BIO,2,1.0,1,701266.7,494672.4
BARILLA | PESTO | PESTO_VEGAN | POT | NON_BIO,1,1.0,0,696842.1000000001,512654.1
ZAPETTI_BUITONI | AUT_VIANDE | VDE_ROTI | BTE_FER | NON_BIO,6,2.0,4,689891.2,351523.80000000005
SACLA | LEGUMES | TOM_CE_BAS | POT | NON_BIO,2,1.0,1,650371.5000000001,718761.2
PANZANI | LEGUMES | OIGNONS_ET_AIL | BRIC | NON_BIO,1,1.0,0,642874.9,696186.7999999999
PANZANI | BIO | PROVENCALE | POT | BIO,1,1.0,0,621649.2999999999,488515.29999999993
SACLA | PESTO | PESTO_AIL_OURS | POT | NON_BIO,1,1.0,0,605932.0000000001,535538.3
JARDIN_BIO | BIO | OLIVE | POT | BIO,1,1.0,0,602917.8,541146.2000000001
ITALIANS_DO_IT_BETTER | PESTO | PARMIGIANO_REGGIANO_&_PESTO_BA | POT | NON_BIO,1,1.0,0,587678.8999999999,452369.4
AUT_MQ | LEGUMES | BASILIC | POT | NON_BIO,45,35.0,10,583258.5000000001,547052.2
ZAKIA | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,1,1.0,0,552790.5,587586.2999999999
SACLA | BIO | GENOVESE_BIO | POT | BIO,3,3.0,0,551911.6,523918.9
SACLA | LEGUMES | AUBERGINE | POT | NON_BIO,1,1.0,0,548071.2000000001,529781.0
JARDIN_BIO | BIO | BOLOGNAISE | POT | BIO,2,1.0,1,541400.4,493326.70000000007
BARILLA | LEGUMES | TOM_CE_NAP | POT | NON_BIO,1,1.0,0,535084.8999999999,643291.2000000001
FLORELLI | PESTO | PESTO_VERD | POT | NON_BIO,2,2.0,0,494414.9000000001,498098.69999999995
HEINZ | LEGUMES | BASILIC | POT | NON_BIO,5,5.0,0,494301.5999999999,1136774.4000000001
AUT_MQ | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,32,17.0,15,488493.8000000001,384515.40000000014
MQ_FAB_1_PRX | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,2,2.0,0,466614.1,394513.9
HEINZ | LEGUMES | PROVENCALE | POT | NON_BIO,5,5.0,0,464736.90000000014,950003.5
SACLA | LEGUMES | GORG_OIG_DX | POT | NON_BIO,1,1.0,0,457885.50000000006,446235.1
BARILLA | PESTO | PESTO_RUSTICO_BASILICO_&_ZUCCH | POT | NON_BIO,1,1.0,0,455190.00000000006,0.0
PANZANI | PESTO | PESTO_VERD | TUB | NON_BIO,1,1.0,0,453348.9,425910.7
ITALIANS_DO_IT_BETTER | LEGUMES | BASILIC_FRAIS | POT | NON_BIO,3,3.0,0,430482.89999999997,376524.0
MDD | SAUCES_POUR_FECULENTS |  | BRIC | ,1,0.0,1,424991.0,320040.0
BARILLA | PESTO | PESTO_RUSTICO_TOMATES_SECHEES | POT | NON_BIO,1,1.0,0,407613.9,766990.4999999999
SACLA | PESTO | PESTO_TRUFFE_NR | POT | NON_BIO,1,1.0,0,401937.29999999993,370008.79999999993
PANZANI | BOLO_CLASSIQUE | BOLOGNAISE | BTE_FER | NON_BIO,3,2.0,1,401153.7,676240.0
PANZANI | BOLO_ORIGINALE | 3POIVRES | POT | NON_BIO,2,2.0,0,400975.2,662269.8
PANZANI | BOLO_VEGETARIENNE | VEGETARIENNE_FACON_BOLOGNAISE | POT | NON_BIO,1,1.0,0,397284.3000000001,324865.0
PANZANI | BIO | TOMATE_CUI | POT | BIO,1,1.0,0,391677.5999999999,303632.69999999995
HEINZ | BOLO_CLASSIQUE | BOLOGNAISE_RICHE_EN_LEGUMES | POT | NON_BIO,4,4.0,0,376468.0,133374.2
HEINZ | BOLO_ORIGINALE | CHORIZO | POT | NON_BIO,4,4.0,0,363622.50000000006,170669.2
HEINZ | BOLO_CLASSIQUE | BOLOGNAISE_RICHE_EN_BOEUF | POT | NON_BIO,3,3.0,0,356320.8,119103.0
AUT_MQ | PESTO | PESTO_VERD | POT | NON_BIO,47,24.0,23,354650.39999999997,439643.60000000003
BARILLA | LEGUMES | AIL_&_FINE_HERBES | POT | NON_BIO,1,1.0,0,347746.8,513011.1
HEINZ | LEGUMES | POIVRONS_GRILLES_&_FORMAGE_ITA | POT | NON_BIO,7,6.0,1,335242.19999999995,627373.2000000001
SACLA | LEGUMES | TOM_ROQUET | POT | NON_BIO,1,1.0,0,334309.0,333827.2
HEINZ | LEGUMES | AIL_OIGNON_SS_SUCRES/SEL | BRIC | NON_BIO,1,1.0,0,326369.3,231138.6
HEINZ | BIO | AIL_OIGNON | POT | BIO,1,1.0,0,324194.0,443754.6
AUT_MQ | SCE_CLAS | CURRY_INDIENNE_COCO_&_CACAHUET | POT | NON_BIO,2,2.0,0,319083.29999999993,297542.5
JARDIN_BIO | BIO | ARRABIATA | POT | BIO,1,1.0,0,316786.4,246974.2
AUT_MQ | LEGUMES | NATURE | POT | NON_BIO,19,16.0,3,315425.30000000005,320651.0
BARILLA | PESTO | PESTO_RUSTICO_POMODORI_SECCHI | POT | NON_BIO,1,1.0,0,313501.5,0.0
AUT_MQ | SCE_CLAS | SWEET_CHILLI | FLA_PLAS | NON_BIO,1,1.0,0,311103.69999999995,255533.50000000003
BARILLA | BOLO_VEGETARIENNE | BOLOGNESE_SOJA | POT | NON_BIO,1,1.0,0,308594.5,273306.3
PANZANI | BOLO_ORIGINALE | BOURGUIGNO | POT | NON_BIO,2,2.0,0,305085.7,534472.1
AUT_MQ | LEGUMES | ARRABIATA | POT | NON_BIO,30,24.0,6,302817.79999999993,294259.70000000007
OLD_EL_PASO | LEGUMES | SALSA | POT | NON_BIO,2,2.0,0,292563.60000000003,351229.2
MDD | SAUCES_POUR_FECULENTS |  | FLA_PLAS | ,1,0.0,1,286847.6,116514.8
PANZANI | PESTO | PESTO_POIV | POT | NON_BIO,1,1.0,0,285930.10000000003,345413.2
SACLA | BIO | ARRABIATA | POT | BIO,2,2.0,0,277834.3,260204.5
SACLA | LEGUMES | BURRATA | POT | NON_BIO,1,1.0,0,272041.4,275897.60000000003
ZAPETTI_BUITONI | LEGUMES | PROVENC_LANGUE | BTE_FER | NON_BIO,5,3.0,2,265158.80000000005,296531.2
