N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_DERNIER CAM,N_CAM AN-1
"HEINZ, LEGUMES, BASILIC, POT, ",5,5.0,0,88404.2,231320.8
"AUT MQ, LEGUMES, BASILIC, POT, ",45,35.0,10,87811.19999999998,84480.8
"MQ FAB 1 PRX, LEGUMES, TOMATE CUISINEE AUX PETITS LEG, POT, ",1,1.0,0,85290.40000000001,76019.40000000001
"HEINZ, LEGUMES, PROVENCALE, POT, ",5,5.0,0,84232.00000000001,195426.2
"PANZANI, BOLO CLASSIQUE, BOLOGNAISE, BTE FER, ",3,2.0,1,83367.6,149684.4
"PANZANI, PESTO, PESTO RGE, POT, ",2,1.0,1,83128.40000000002,58489.6
"PANZANI, BOLO VEGETARIENNE, VEGETARIENNE FACON BOLOGNAISE, POT, ",1,1.0,0,82300.29999999999,68269.2
"BARILLA, LEGUMES, AIL & FINE HERBES, POT, ",1,1.0,0,80507.90000000001,119697.8
"JARDIN BIO, BIO, NAPOLITAIN, POT, ",1,1.0,0,79191.10000000003,69275.90000000001
"PANZANI, BIO, TOMATE CUI, POT, ",1,1.0,0,76885.5,60255.2
"HEINZ, BIO, AIL OIGNON, POT, ",1,1.0,0,76436.8,110791.4
"ZAPETTI BUITONI, LEGUMES, TOMATE CUI, BRIC, ",1,1.0,0,72368.1,125395.7
"BARILLA, LEGUMES, TOM CE NAP, POT, ",1,1.0,0,72069.3,85149.80000000003
"HEINZ, BOLO ORIGINALE, CHORIZO, POT, ",4,4.0,0,64397.700000000004,29189.9
"PANZANI, BOLO ORIGINALE, 3POIVRES, POT, ",2,2.0,0,63884.0,97970.40000000001
"JARDIN BIO, BIO, BOLOGNAISE, POT, ",2,1.0,1,61432.49999999999,56403.30000000001
"SACLA, PESTO, PESTO RGE, POT, ",2,2.0,0,61009.6,62875.3
"HEINZ, BOLO CLASSIQUE, BOLOGNAISE RICHE EN LEGUMES, POT, ",4,4.0,0,59433.299999999996,22771.199999999997
"JARDIN BIO, BIO, OLIVE, POT, ",1,1.0,0,58539.8,52088.99999999999
"MQ FAB 1 PRX, LEGUMES, NATURE, BTE FER, ",1,1.0,0,57786.4,62451.2
"HEINZ, LEGUMES, POIVRONS GRILLES & FORMAGE ITA, POT, ",7,6.0,1,57036.200000000004,129830.4
"BARILLA, PESTO, PESTO VEGAN, POT, ",1,1.0,0,54922.0,40587.2
"HEINZ, BOLO CLASSIQUE, BOLOGNAISE, POT, ",2,2.0,0,53283.700000000004,12590.9
"HEINZ, BOLO CLASSIQUE, BOLOGNAISE RICHE EN BOEUF, POT, ",3,3.0,0,52606.50000000001,20748.5
"PANZANI, BOLO ORIGINALE, BOLOGNAISE EMMENTAL, POT, ",3,2.0,1,49184.9,192252.39999999997
"SACLA, PESTO, PESTO AIL OURS, POT, ",1,1.0,0,47810.7,42038.2
"PANZANI, BOLO ORIGINALE, BOURGUIGNO, POT, ",2,2.0,0,47752.40000000001,93160.79999999999
"SACLA, BIO, GENOVESE BIO, POT, ",3,3.0,0,44749.8,37480.8
"AUT MQ, SCE CLAS, CURRY INDIENNE COCO & CACAHUET, POT, ",2,2.0,0,43118.9,40692.1
"PANZANI, PESTO, PESTO VERD, TUB, ",1,1.0,0,40184.2,38791.7
"FLORELLI, PESTO, PESTO VERD, POT, ",2,2.0,0,40115.10000000001,41570.0
"BARILLA, LEGUMES, ZUCCHINE & LEGUMES GRILLES, POT, ",1,1.0,0,37100.3,24205.6
"HEINZ, LEGUMES, ARRABIATA, POT, ",6,5.0,1,35924.6,135985.4
"ZAKIA, LEGUMES, TOMATE PIMENTE, TUB, ",1,1.0,0,35677.899999999994,21058.2
"BARILLA, PESTO, PESTO RUSTICO BASILICO & ZUCCH, POT, ",1,1.0,0,34750.700000000004,0.0
"AUT MQ, SCE CLAS, SWEET CHILLI, FLA PLAS, ",1,1.0,0,34050.6,28921.3
"OLD EL PASO, LEGUMES, SALSA, POT, ",2,2.0,0,34006.7,41380.7
"JARDIN BIO, BIO, ARRABIATA, POT, ",1,1.0,0,33988.3,26481.5
"AUT MQ, SCE CLAS, CURRY INDIENNE TIKKA MASALA EP, POT, ",1,1.0,0,33650.3,30960.599999999995
"AUT MQ, LEGUMES, ARRABIATA, POT, ",30,24.0,6,31511.600000000002,30837.299999999996
"SACLA, LEGUMES, AUBERGINE, POT, ",1,1.0,0,31401.4,30293.8
"BARILLA, PESTO, PESTO RUSTICO TOMATES SECHEES, POT, ",1,1.0,0,30654.800000000007,58159.2
"LUCIEN GEORGELIN, LEGUMES, AIL OIGNON, POT, ",2,2.0,0,30049.399999999998,15322.2
"LUCIEN GEORGELIN, LEGUMES, PIMENT D'ESPELETTE, POT, ",2,2.0,0,29904.200000000008,17510.399999999998
"PANZANI, QUALITE FRAICHEMENT CUISINEE, PIMENT D'ESPELETTE, POT, ",1,1.0,0,29554.8,32592.6
"LUCIEN GEORGELIN, LEGUMES, BASILIC, POT, ",4,3.0,1,28261.699999999997,20739.8
"SACLA, LEGUMES, GORG OIG DX, POT, ",1,1.0,0,27603.8,27253.0
"LUCIEN GEORGELIN, LEGUMES, TOMATE DE MARMANDE, POT, ",2,2.0,0,27573.2,14181.9
"RUMMO, LEGUMES, BASILIC, POT, ",1,1.0,0,27376.5,25527.3
"PANZANI, PESTO, PESTO POIV, POT, ",1,1.0,0,25661.7,29105.4
"CIRIO, LEGUMES, PETIT LEGUMES & PARMESAN, TUB, ",1,1.0,0,25157.2,21160.0
"PANZANI, LEGUMES, BASILIC, POT, ",4,3.0,1,24937.6,10807.5
"BARILLA, BOLO VEGETARIENNE, BOLOGNESE SOJA, POT, ",1,1.0,0,24506.7,21552.3
"BARILLA, PESTO, PESTO RUSTICO POMODORI SECCHI, POT, ",1,1.0,0,24299.6,0.0
"ITALIANS DO IT BETTER, LEGUMES, BASILIC FRAIS, POT, ",3,3.0,0,24015.300000000003,20297.6
"MQ FAB 1 PRX, LEGUMES, PT LEGUME, TUB, ",1,1.0,0,23779.9,22406.8
